년도,2016,2017,2018,2019,2020
서울,-140257,-98486,-110230,-49588,-64850
부산,-21392,-28398,-26759,-23354,-14347
대구,-9260,-11936,-14242,-23673,-16835
인천,5777,-1670,-67,-2337,-15748
광주,-7898,-8118,-6216,-3875,-6083
대전,-10631,-16175,-14753,-16342,-11097
울산,-7622,-11917,-12654,-10172,-13584
세종,29816,34690,31433,23724,13025
경기,133617,116162,170094,134666,168373
강원,1892,2035,-3854,1661,5457
충북,5011,2262,5149,2565,3454
충남,15318,19401,10084,-794,741
전북,-4419,-7206,-13773,-12748,-8494
전남,-3205,-3047,-8030,-8788,-9754
경북,-3151,-5581,-9225,-4571,-16978
경남,1772,3979,-5810,-9310,-16658
제주,14632,14005,8853,2936,3378
